description,price,title,count
Stunning next-gen graphics and immersive gameplay,59.99,Spider-Man: Miles Morales from CSV,5
Intense action and realistic visuals,69.99,Call of Duty: Black Ops Cold War from CSV,8
Epic RPG with breathtaking worlds and characters,49.99,Demon's Souls from CSV,3
Innovative puzzle-solving and exploration,39.99,Returnal from CSV,6
Beautiful open-world adventure,49.99,The Legend of Zelda: Breath of the Wild from CSV,4
Sci-fi masterpiece with deep storytelling,59.99,Mass Effect: Legendary Edition from CSV,7
Survival horror with a gripping narrative,44.99,Resident Evil Village from CSV,5
Fast-paced and dynamic multiplayer,29.99,Apex Legends from CSV,10
Strategic and tactical warfare,49.99,Total War: Three Kingdoms from CSV,4
Heartwarming journey with charming characters,39.99,Stardew Valley from CSV,9